Catalogue,Artist,Title,format,"No of Items","Slip case",Sticker,Package,Booklet,"Vinyl Weight","Vinyl RPMs","Vinyl Colour",mp3,Notes,Manufacturer,"Sticker Manufacturer",ID
CDVILED1308,ABSCESS,"HORRORHAMMER (CD)",CD,1,0,0,Jewel,12pp,,,,0,,VDC,,3725
CDVILED1307,ABSCESS,"THROUGH THE CRACKS OF DEATH (CD)",CD,1,0,0,Jewel,,,,,0,,VDC,,3726
KSCOPE3049,"PAUL DRAPER","MANSUN RETOLD (Blu-ray)",Blu-ray,1,0,0,Amaray,,,,,0,,OPTIMAL,,3727
CDVILED1325,DOLORIAN,"WHEN ALL THE LAUGHTER HAS GONE (CD)",CD,1,0,0,Jewel,8pp,,,,0,,VDC,,3728
VILELP1325,DOLORIAN,"WHEN ALL THE LAUGHTER HAS GONE (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3729
VILELP1326,DARKTHRONE,"AS WOLVES AMONG SHEEP - LIVE IN OSLO `90 (PETROL LP)",LP,1,0,0,Single,,180,33,Blue,0,,TAKT,,3730
VILELP1313,"STATIC ABYSS","THE DYING HUNT (MARBLE LP)",LP,1,0,0,Single,,140,33,Marble,0,"Sun Yellow + Black",OPTIMAL,,3731
VILELP1328,"PARADISE LOST","GOTHIC (35TH ANNIVERSARY LP)",LP,1,0,0,Single,4pp,140,33,MultiColour,0,"Gold + Black Corona",OPTIMAL,,3732
CDVILED1328X,"PARADISE LOST","GOTHIC (35TH ANNIVERSARY 2CD)",2CD,2,0,0,Brilliant,12pp,,,,0,,VDC,,3733
CDVILED1327,"OCTOBER TIDE","GREY DAWN (CD)",CD,1,0,0,Jewel,8pp,,,,0,,SP,,3734
VILELP1327,"OCTOBER TIDE","GREY DAWN (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3735
EBVILE034,DARKTHRONE,"THE FIST IN THE FACE OF GOD (9LP/DVD BOXSET)",MixBoxSet,10,1,0,BoxSet,48pp,180,33,Black,0,"9LPs in Twin Slipcase, DVD, Perfect Bound Book and art prints - Initial order: 2,000 units",TAKT,,3736
